robic;machen;machte;gemacht;
piec backen;backen;buk;gebacken;
rozkazywać;befehlen;befahl;befohlen;
ropoczynać;beginnen;begann;begonnen;
gryść;beißen;biss;gebissen;
wydobywać;bergen;barg;geborgen;
oszukiwać;betrügen;betrog;betrogen;
wyginać;biegen;bog;gebogen;
oferować;bieten;bot;geboten;
wiązać;binden;band;gebunden;
prosić;bitten;bat;gebeten;
dmuchać;blasen;bläst;geblasen;
zostawać;bleiben;blieb;geblieben;
piec braten;braten;briet;gebraten;
łamać;brechen;brach;gebrochen;
palić;brennen;brannte;gebrannt;
przynosić;bringen;brachte;gebracht;
myśleć;denken;dachte;gedacht;
wnikać;eindringen;drang ein;eingedrungen;
witać;empfangen;empfing;empfangen;
polecać;empfehlen;empfahl;empfohlen;
czuć;empfinden;empfand;empfunden;
gasić;erlöschen;erlosch;erloschen;
przestraszać;erschrecken;erschrak;erschrocken;
rozważać;erwägen;erwog;erwogen;
jeść;essen;aß;gegessen;
jechać;fahren;fuhr;gefahren;
upadać;fallen;fiel;gefallen;
łapać;fangen;fing;gefangen;
znajdować;finden;fand;gefunden;
latać;fliegen;flog;geflogen;
uciekać;fliehe;floh;geflohen;
płynąć (rzeka);fließen;floss;geflossen;
żreć;fressen;fraß;gefressen;
zamarzać;friere;fror;gefroren;
rodzić;gebären;gebar;geboren;
dawać;geben;gab;gegeben;
rozwijać;gedeihen;gedieh;gediehen;
iść;gehen;ging;gegangen;
udać się;gelingen;gelang;gelungen;
obowiązaywać;gelten;galt;gegolten;
rozkoszować się;genießen;genoss;genossen;
popaść;geraten;geriet;geraten;
stać się;geschehen;geschah;geschehen;
wygrać;gewinnen;gewann;gewonnen;
podlewać;gieße;goss;gegossen;
równać;gleichen;glich;geglichen;
szybować;gleiten;glitt;geglitten;
kopać;graben;grub;gegraben;
łapać greifen;greifen;griff;gegriffen;
mieć;haben;hatte;gehabt;
trzymać;halten;hielt;gehalten;
wisieć;hängen;hing;gehangen;
wieszać;hängen;hängte;gehängt;
podnosić;heben;hob;gehoben;
nazywać się;heißen;hieß;geheißen;
pomagać;helfen;half;geholfen;
znać;kennen;kannte;gekannt;
dzwonić;klingen;klang;geklungen;
szczypać;kneifen;kniff;gekniffen;
przychodzić;kommen;kam;gekommen;
czołgać się;kriechen;kroch;gekrochen;
ładować;laden;lud;geladen;
pozwalać;lassen;ließ;gelassen;
biegać;laufen;lief;gelaufen;
cierpieć;leiden;litt;gelitten;
pożyczać;leihen;lieh;geliehen;
czytać;lesen;las;gelesen;
leżeć;liegen;lag;gelegen;
kłamać;lügen;log;gelogen;
unikać;meiden;mied;gemieden;
mierzyć;messen;maß;gemessen;
nie powieść się;misslingen;misslang;misslungen;
brać;nehmen;nahm;genommen;
nazywać;nennen;nannte;genannt;
gwizdać;pfeifen;pfiff;gepfiffen;
chwalić;preisen;pries;gepriesen;
wydobywać się;quellen;quoll;gequollen;
radzić;raten;riet;geraten;
trzeć;reiben;rieb;gerieben;
podróżować;reißen;riss;gerissen;
jedzić konno;reiten;ritt;geritten;
biegać rennen;rennen;rannte;gerannt;
pachnieć;riechen;roch;gerochen;
dzwonić;ringen;rang;gerungen;
ciec;rinnen;rann;geronnen;
dzwonić;rufen;rief;gerufen;
chlać;saufen;soff;gesoffen;
udać się;schaffen;schuf;geschaffen;
rozdzielać;scheiden;schied;geschieden;
świecić;scheinen;schien;geschienen;
ciąć;scheren;schor;geschoren;
przesuwać;schieben;schob;geschoben;
strzelać;schießen;schoss;geschossen;
zamęczać;sich schinden;schund;geschunden;
spać;schlafen;schlief;geschlafen;
uderzać;schlagen;schlug;geschlagen;
skradać się;schleichen;schlich;geschlichen;
zamykać;schließen;schloss;geschlossen;
oplatać;schlingen;schlang;geschlungen;
wywalać;schmeißen;schmiss;;geschmissen;
roztapiać się;schmelzen;schmolz;ist/geschmolzen;
ścinać;schneiden;schnitt;geschnitten;
pisać;schreiben;schrieb;geschrieben;
krzyczeć;schreien;schrie;geschrien;
kroczyć;schreiten;schritt;geschritten;
milczeć;schweigen;schwieg;geschwiegen;
tlić się;schwellen;schwoll;geschwollen;
pływać;schwimmen;schwamm;geschwommen;
znikać;schwinden;schwand;geschwunden;
machać;schwingen;schwang;geschwungen;
pocić się;schwören;schwor;geschworen;
widzieć;sehen;sah;gesehen;
być;sein;war;gewesen;
wysyłać;senden;sandte;gesandt;
śpiewać;singen;sang;gesungen;
tonąć;sinken;sank;gesunken;
rozmyslać;sinnen;sann;gesonnen;;
siedzieć;sitzen;saß;gesessen;
bujać;spinnen;spann;gesponnen;
mówić;sprechen;sprach;gesprochen;
kiełkować;sprießen;spross;gesprossen;
skakać;springen;sprang;gesprungen;
kłuć;stechen;stach;gestochen;
stać;stehen;stand;gestanden;
kraść;stehlen;stahl;gestohlen;
podnosić się;steigen;stieg;gestiegen;
umierać;sterben;starb;gestorben;
śmierdzieć;stinken;stank;gestunken;
malować ścianę;streichen;strich;gestrichen;
kłócić;s.streiten;stritt;gestritten;
nosić;tragen;trug;getragen;
spotykać;treffen;traf;getroffen;
pędzić;treiben;trieb;getrieben;
nadepnąć;treten;trat;getreten;
pić;trinken;trank;getrunken;
robić;tun;tat;getan;
rujnować;verderben;verdarb;verdorben;
zapominać;vergessen;vergaß;vergessen;
gubić;verlieren;verlor;verloren;
rosnąć;wachsen;wuchs;gewachsen;
myć;waschen;wusch;gewaschen;
miękki;weichen;wich;gewichen;
wskazywać;weisen;wies;gewiesen;
starać się;werben;warb;geworben;
stawać się;werden;wurde;geworden;
rzucać;werfen;warf;geworfen;
ważyć;wiegen;wog;gewogen;
wiedzieć;wissen;wusste;gewusst;
ciągnąć;ziehen;zog;gezogen;
zmuszać;zwingen;zwang;gezwungen;
